[2025-08-29T20:09:10.248Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (4ms)
[2025-08-29T20:09:10.249Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:09:10.249Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:09:10.250Z] GET /src/App.tsx -> 200 (6ms)
[2025-08-29T20:09:10.251Z] GET /src/styles/global.ts -> 200 (7ms)
[2025-08-29T20:09:10.318Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (75ms)
[2025-08-29T20:09:10.318Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=bcf562e2 -> 200 (69ms)
[2025-08-29T20:09:10.336Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=bcf562e2 -> 200 (87ms)
[2025-08-29T20:09:10.341Z] GET /src/contexts/AuthContext.tsx -> 200 (23ms)
[2025-08-29T20:09:10.341Z] GET /src/components/CredentialSetupModal.tsx -> 200 (22ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Dashboard.tsx -> 200 (23ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Flows.ts -> 200 (22ms)
[2025-08-29T20:09:10.341Z] GET /src/components/Sidebar.tsx -> 200 (22ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Login.tsx -> 200 (22ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Callback.tsx -> 200 (22ms)
[2025-08-29T20:09:10.341Z] GET /src/components/Navbar.tsx -> 200 (22ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Documentation.tsx -> 200 (22ms)
[2025-08-29T20:09:10.342Z] GET /src/pages/Configuration.tsx -> 200 (22ms)
[2025-08-29T20:09:10.348Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=bcf562e2 -> 200 (2ms)
[2025-08-29T20:09:10.349Z] GET /src/utils/storage.ts -> 200 (3ms)
[2025-08-29T20:09:10.349Z] GET /src/components/Card.tsx -> 200 (2ms)
[2025-08-29T20:09:10.349Z] GET /src/utils/oauth.ts -> 200 (3ms)
[2025-08-29T20:09:10.349Z] GET /src/config/pingone.ts -> 200 (3ms)
[2025-08-29T20:09:10.351Z] GET /@id/__vite-browser-external:crypto -> 200 (1ms)
[2025-08-29T20:09:10.368Z] GET /favicon.ico -> 200 (2ms)
[2025-08-29T20:09:21.544Z] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 (1ms)
[2025-08-29T20:10:34.904Z] GET / -> 200 (51ms)
[2025-08-29T20:10:35.064Z] GET /@react-refresh -> 200 (4ms)
[2025-08-29T20:10:35.074Z] GET /@vite/client -> 200 (16ms)
[2025-08-29T20:10:35.075Z] GET /src/main.tsx -> 200 (15ms)
[2025-08-29T20:10:35.104Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (7ms)
[2025-08-29T20:10:35.104Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (7ms)
[2025-08-29T20:10:35.104Z] GET /node_modules/.vite/deps/react-dom_client.js?v=bcf562e2 -> 200 (7ms)
[2025-08-29T20:10:35.104Z] GET /node_modules/.vite/deps/react-router-dom.js?v=bcf562e2 -> 200 (6ms)
[2025-08-29T20:10:35.104Z] GET /node_modules/.vite/deps/styled-components.js?v=bcf562e2 -> 200 (6ms)
[2025-08-29T20:10:35.109Z] GET /src/App.tsx -> 200 (11ms)
[2025-08-29T20:10:35.109Z] GET /src/styles/global.ts -> 200 (10ms)
[2025-08-29T20:10:35.114Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (17ms)
[2025-08-29T20:10:35.114Z] GET /node_modules/.vite/deps/chunk-AMZ7Q62Q.js?v=bcf562e2 -> 200 (4ms)
[2025-08-29T20:10:35.210Z] GET /node_modules/.vite/deps/chunk-XHCDW3LY.js?v=bcf562e2 -> 200 (100ms)
[2025-08-29T20:10:35.222Z] GET /src/contexts/AuthContext.tsx -> 200 (108ms)
[2025-08-29T20:10:35.222Z] GET /src/components/Sidebar.tsx -> 200 (107ms)
[2025-08-29T20:10:35.222Z] GET /src/components/CredentialSetupModal.tsx -> 200 (107ms)
[2025-08-29T20:10:35.222Z] GET /src/components/Navbar.tsx -> 200 (107ms)
[2025-08-29T20:10:35.222Z] GET /src/pages/Configuration.tsx -> 200 (105ms)
[2025-08-29T20:10:35.222Z] GET /src/pages/Flows.ts -> 200 (106ms)
